CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;NU_ANO;SCORE_ESCUDO;TX_ENUNCIADO
12;LC;150766;D;20;0;;5.24443;0.2992;0.19478;AZUL;1395;;0;2024;8.61736;Texto extraído diretamente do caderno oficial.
17;LC;150627;E;23;0;;4.32713;-0.03216;0.14822;AZUL;1395;;0;2024;8.009640000000001;"*010175AZ32*
01
1 Dia 1 Dia
1°Capa 4°Capa
Transcreva a sua Redação para a Folha de Redação.
Azul 1 1 Azul
Amarelo 2 2 Amarelo
Branco 3 1 3 Branco
Rosa 4 2 4 Rosa
3
Ledor 9 9 Ledor
Libras 10 4 10 Libras
5
6
7
8
O
9
H
10
N O
11
U
12 Ã
C
13 Ç
S
14 A
A
15 D
16 R
E
17
R
18
A
19
D
20
21
22
23
24
2 Dia 2 Dia
1°Capa 25 4°Capa
Libras 12 26 12 Libras
Ledor 11 11 Ledor
27
28
Rosa 8 8 Rosa
Azul 7 29 7 Azul
Cinza 6 6 Cinza
30
Amarelo 5 5 Amarelo
01
BBB0011iiiggg00uuu11rrr77rrr55iiilllAAhhhZZooosss..ii...nniiinnndddddbbddd 33 11122 11224433////00006688////2222000022222244 11117766::::11442266::::00556699"
41;LC;118098;C;11;0;;3.6852;-0.20488;0.20362;AZUL;1353;;0;2024;6.966939999999999;Texto extraído diretamente do caderno oficial.
41;LC;118098;C;11;0;;3.6852;-0.20488;0.20362;AZUL;1441;;0;2024;6.966939999999999;Texto extraído diretamente do caderno oficial.
89;CH;149847;C;6;0;;3.51616;-0.2635;0.19228;AZUL;1343;;0;2024;6.86142;Texto extraído diretamente do caderno oficial.
89;CH;149847;C;6;0;;3.51616;-0.2635;0.19228;AZUL;1431;;0;2024;6.86142;Texto extraído diretamente do caderno oficial.
35;LC;118138;A;23;0;;2.9048;-0.61866;0.20054;AZUL;1441;;0;2024;6.66288;Texto extraído diretamente do caderno oficial.
35;LC;118138;A;23;0;;2.9048;-0.61866;0.20054;AZUL;1353;;0;2024;6.66288;Texto extraído diretamente do caderno oficial.
44;LC;141244;E;9;0;;4.0067;0.04613;0.2554;AZUL;1395;;0;2024;6.59801;Texto extraído diretamente do caderno oficial.
30;LC;150640;D;22;0;;5.12643;0.99473;0.15516;AZUL;1395;;0;2024;6.49287;"*010175AZ32*
01
1 Dia 1 Dia
1°Capa 4°Capa
Transcreva a sua Redação para a Folha de Redação.
Azul 1 1 Azul
Amarelo 2 2 Amarelo
Branco 3 1 3 Branco
Rosa 4 2 4 Rosa
3
Ledor 9 9 Ledor
Libras 10 4 10 Libras
5
6
7
8
O
9
H
10
N O
11
U
12 Ã
C
13 Ç
S
14 A
A
15 D
16 R
E
17
R
18
A
19
D
20
21
22
23
24
2 Dia 2 Dia
1°Capa 25 4°Capa
Libras 12 26 12 Libras
Ledor 11 11 Ledor
27
28
Rosa 8 8 Rosa
Azul 7 29 7 Azul
Cinza 6 6 Cinza
30
Amarelo 5 5 Amarelo
01
BBB0011iiiggg00uuu11rrr77rrr55iiilllAAhhhZZooosss..ii...nniiinnndddddbbddd 33 11122 11224433////00006688////2222000022222244 11117766::::11442266::::00556699"
